,text,label,label_name
0,I am still waiting on my card?,11,card_arrival
1,What can I do if my card still hasn't arrived after 2 weeks?,11,card_arrival
2,I have been waiting over a week. Is the card still coming?,11,card_arrival
3,Can I track my card while it is in the process of delivery?,11,card_arrival
4,"How do I know if I will get my card, or if it is lost?",11,card_arrival
5,When did you send me my new card?,11,card_arrival
6,Do you have info about the card on delivery?,11,card_arrival
7,What do I do if I still have not received my new card?,11,card_arrival
8,Does the package with my card have tracking?,11,card_arrival
9,I ordered my card but it still isn't here,11,card_arrival
10,Why has my new card still not come?,11,card_arrival
11,"I still haven't received my card after two weeks, is it lost?",11,card_arrival
12,Can you track my card for me?,11,card_arrival
13,Is there a way to track the delivery of my card?,11,card_arrival
14,It's been a week since I ordered my card and it's not here. Please help?,11,card_arrival
15,Will I be able to track the card that was sent to me?,11,card_arrival
16,I don't have my card in 1 week.  Should I be worried?,11,card_arrival
17,How do I know when my new card is going to arrive?,11,card_arrival
18,My new card has not been delivered to my home yet. What is going on?,11,card_arrival
19,It's been a week since you issued me a card and I still didn't get it. Should I keep waiting?,11,card_arrival
20,"On the card that is coming, what's the tracking info?",11,card_arrival
21,What is the status of my card's delivery?,11,card_arrival
22,Have you sent out my card yet?,11,card_arrival
23,My card isn't here yet.,11,card_arrival
24,where is my new card?,11,card_arrival
25,It's been a week since you sent my card and I still don't have it.,11,card_arrival
26,How do I track the card you sent me?,11,card_arrival
27,When will I recieve my new card?,11,card_arrival
28,When will I get my new card?,11,card_arrival
29,What is the expected delivery date for my card?,11,card_arrival
30,Is there a tracking number for the card you sent me?,11,card_arrival
31,I would like to track the card you sent to me.,11,card_arrival
32,Has my card been lost in delivery?,11,card_arrival
33,My new card hasn't came in.,11,card_arrival
34,Where is the card I ordered 2 weeks ago?,11,card_arrival
35,Can I get an update on my replacement card?,11,card_arrival
36,How long does it take for a new card to ship?,11,card_arrival
37,What's the tracking on the card you sent?,11,card_arrival
38,I haven't received my card and am worried it is lost.,11,card_arrival
39,My card still hasn't been delivered,11,card_arrival
40,I need to find out where the card is that I ordered.,11,card_arrival
41,Where is my credit card that was to be mailed?,11,card_arrival
42,I ordered my card but it hasn't been delivered yet,11,card_arrival
43,Am I able to track the card that was just sent to me?,11,card_arrival
44,Can you tell me why I haven't received my new card?,11,card_arrival
45,I'm still waiting for my new card.,11,card_arrival
46,Is my card lost? I am still waiting for it to be delivered.,11,card_arrival
47,Should I keep waiting for my card to be delivered?,11,card_arrival
48,Can I track when my card will be delivered?,11,card_arrival
49,How can I check on the status of my new card?,11,card_arrival
50,"A card has been sent to me, how do I track it?",11,card_arrival
51,Is there a way I can get my card expedited?,11,card_arrival
52,What can I do to track the card you sent me?,11,card_arrival
53,why hasnt my card come in yet?,11,card_arrival
54,How can I periodically check the delivery of the card you sent?,11,card_arrival
55,What's the reason my new card hasn't come?,11,card_arrival
56,How long does it take for me to get my new card?,11,card_arrival
57,I don't have my card after 1 week. What are my next steps?,11,card_arrival
58,I know I'm getting a new card but would like know when I can expect to receive it.,11,card_arrival
59,I want to find out what happened to my new card?,11,card_arrival
60,Was there a way for me to get tracking for that?,11,card_arrival
61,I am still waiting for my card.,11,card_arrival
62,My card hasn't arrived.,11,card_arrival
63,Can I track the card you sent to me?,11,card_arrival
64,I haven't gotten my new card.,11,card_arrival
65,How long should it take for my new card to arrive in them mail? What should I do if I never receive it?,11,card_arrival
